contdir;contesq;veldir;velesq;disdir;diseq;tmp
32;25;6.55;5.11;0.65;0.51;37340
27;26;5.52;5.32;0.55;0.53;37451
27;27;5.52;5.52;0.55;0.55;37563
26;26;5.32;5.32;0.53;0.53;37672
27;26;5.52;5.32;0.55;0.53;37781
27;25;5.52;5.11;0.55;0.51;37890
26;26;5.32;5.32;0.53;0.53;37999
28;25;5.73;5.11;0.57;0.51;38108
27;26;5.52;5.32;0.55;0.53;38217
26;25;5.32;5.11;0.53;0.51;38326
28;25;5.73;5.11;0.57;0.51;38435
25;24;5.11;4.91;0.51;0.49;38544
26;25;5.32;5.11;0.53;0.51;38655
26;27;5.32;5.52;0.53;0.55;38764
27;25;5.52;5.11;0.55;0.51;38873
26;25;5.32;5.11;0.53;0.51;38982
26;26;5.32;5.32;0.53;0.53;39091
27;26;5.52;5.32;0.55;0.53;39202
27;25;5.52;5.11;0.55;0.51;39311
26;26;5.32;5.32;0.53;0.53;39420
26;25;5.32;5.11;0.53;0.51;39529
27;26;5.52;5.32;0.55;0.53;39641
27;26;5.52;5.32;0.55;0.53;39750
26;26;5.32;5.32;0.53;0.53;39859
27;25;5.52;5.11;0.55;0.51;39968
26;26;5.32;5.32;0.53;0.53;40077
26;25;5.32;5.11;0.53;0.51;40186
28;27;5.73;5.52;0.57;0.55;40304
26;25;5.32;5.11;0.53;0.51;40413
25;25;5.11;5.11;0.51;0.51;40522
26;25;5.32;5.11;0.53;0.51;40631
27;26;5.52;5.32;0.55;0.53;40742
27;25;5.52;5.11;0.55;0.51;40853
26;25;5.32;5.11;0.53;0.51;40962
26;25;5.32;5.11;0.53;0.51;41071
26;25;5.32;5.11;0.53;0.51;41180
25;26;5.11;5.32;0.51;0.53;41289
25;26;5.11;5.32;0.51;0.53;41398
26;26;5.32;5.32;0.53;0.53;41507
26;25;5.32;5.11;0.53;0.51;41616
28;26;5.73;5.32;0.57;0.53;41728
26;25;5.32;5.11;0.53;0.51;41837
27;26;5.52;5.32;0.55;0.53;41946
25;27;5.11;5.52;0.51;0.55;42055
26;26;5.32;5.32;0.53;0.53;42164
26;26;5.32;5.32;0.53;0.53;42273
26;25;5.32;5.11;0.53;0.51;42382
26;26;5.32;5.32;0.53;0.53;42491
26;26;5.32;5.32;0.53;0.53;42602
26;26;5.32;5.32;0.53;0.53;42711
27;26;5.52;5.32;0.55;0.53;42822
26;26;5.32;5.32;0.53;0.53;42931
25;25;5.11;5.11;0.51;0.51;43040
26;25;5.32;5.11;0.53;0.51;43149
26;26;5.32;5.32;0.53;0.53;43258
26;25;5.32;5.11;0.53;0.51;43367
23;31;4.71;6.34;0.47;0.63;43476
16;39;3.27;7.98;0.33;0.8;43585
18;33;3.68;6.75;0.37;0.68;43694
17;40;3.48;8.18;0.35;0.82;43812
15;36;3.07;7.36;0.31;0.74;43921
16;37;3.27;7.57;0.33;0.76;44030
15;36;3.07;7.36;0.31;0.74;44139
26;28;5.32;5.73;0.53;0.57;44250
39;15;7.98;3.07;0.8;0.31;44359
29;22;5.93;4.5;0.59;0.45;44468
36;16;7.36;3.27;0.74;0.33;44577
28;23;5.73;4.71;0.57;0.47;44686
27;27;5.52;5.52;0.55;0.55;44804
28;27;5.73;5.52;0.57;0.55;44922
25;26;5.11;5.32;0.51;0.53;45031
26;25;5.32;5.11;0.53;0.51;45140
26;26;5.32;5.32;0.53;0.53;45249
26;25;5.32;5.11;0.53;0.51;45358
26;24;5.32;4.91;0.53;0.49;45467
26;25;5.32;5.11;0.53;0.51;45576
27;26;5.52;5.32;0.55;0.53;45685
18;35;3.68;7.16;0.37;0.72;45794
16;40;3.27;8.18;0.33;0.82;45912
15;37;3.07;7.57;0.31;0.76;46023
15;36;3.07;7.36;0.31;0.74;46132
17;34;3.48;6.96;0.35;0.7;46241
27;26;5.52;5.32;0.55;0.53;46350
25;26;5.11;5.32;0.51;0.53;46459
25;26;5.11;5.32;0.51;0.53;46568
29;23;5.93;4.71;0.59;0.47;46677
38;15;7.77;3.07;0.78;0.31;46786
36;15;7.36;3.07;0.74;0.31;46895
39;16;7.98;3.27;0.8;0.33;47013
35;16;7.16;3.27;0.72;0.33;47122
35;16;7.16;3.27;0.72;0.33;47231
35;15;7.16;3.07;0.72;0.31;47340
35;16;7.16;3.27;0.72;0.33;47449
34;16;6.96;3.27;0.7;0.33;47558
36;16;7.36;3.27;0.74;0.33;47669
29;23;5.93;4.71;0.59;0.47;47778
25;27;5.11;5.52;0.51;0.55;47887
27;29;5.52;5.93;0.55;0.59;48006
26;27;5.32;5.52;0.53;0.55;48115
27;25;5.52;5.11;0.55;0.51;48224
26;26;5.32;5.32;0.53;0.53;48333
26;24;5.32;4.91;0.53;0.49;48442
26;24;5.32;4.91;0.53;0.49;48551
27;25;5.52;5.11;0.55;0.51;48660
22;29;4.5;5.93;0.45;0.59;48769
13;40;2.66;8.18;0.27;0.82;48878
14;37;2.86;7.57;0.29;0.76;48987
16;39;3.27;7.98;0.33;0.8;49105
15;36;3.07;7.36;0.31;0.74;49214
17;34;3.48;6.96;0.35;0.7;49323
29;36;5.93;7.36;0.59;0.74;49464
24;35;4.91;7.16;0.49;0.72;49590
29;23;5.93;4.71;0.59;0.47;49699
39;13;7.98;2.66;0.8;0.27;49808
28;23;5.73;4.71;0.57;0.47;49917
26;25;5.32;5.11;0.53;0.51;50026
28;28;5.73;5.73;0.57;0.57;50144
25;25;5.11;5.11;0.51;0.51;50253
28;23;5.73;4.71;0.57;0.47;50362
36;16;7.36;3.27;0.74;0.33;50471
16;37;3.27;7.57;0.33;0.76;50580
26;25;5.32;5.11;0.53;0.51;50689
26;26;5.32;5.32;0.53;0.53;50798
16;35;3.27;7.16;0.33;0.72;50907
24;26;4.91;5.32;0.49;0.53;51016
42;18;8.59;3.68;0.86;0.37;51137
35;17;7.16;3.48;0.72;0.35;51246
25;26;5.11;5.32;0.51;0.53;51355
25;25;5.11;5.11;0.51;0.51;51464
25;24;5.11;4.91;0.51;0.49;51573
26;25;5.32;5.11;0.53;0.51;51682
26;24;5.32;4.91;0.53;0.49;51791
26;25;5.32;5.11;0.53;0.51;51900
26;25;5.32;5.11;0.53;0.51;52009
26;25;5.32;5.11;0.53;0.51;52118
27;27;5.52;5.52;0.55;0.55;52235
26;25;5.32;5.11;0.53;0.51;52344
26;25;5.32;5.11;0.53;0.51;52453
25;25;5.11;5.11;0.51;0.51;52562
26;24;5.32;4.91;0.53;0.49;52671
25;25;5.11;5.11;0.51;0.51;52780
26;24;5.32;4.91;0.53;0.49;52891
25;24;5.11;4.91;0.51;0.49;53000
26;25;5.32;5.11;0.53;0.51;53109
26;24;5.32;4.91;0.53;0.49;53220
25;25;5.11;5.11;0.51;0.51;53329
26;24;5.32;4.91;0.53;0.49;53438
25;25;5.11;5.11;0.51;0.51;53547
26;25;5.32;5.11;0.53;0.51;53655
24;24;4.91;4.91;0.49;0.49;53763
26;25;5.32;5.11;0.53;0.51;53874
26;24;5.32;4.91;0.53;0.49;53983
25;25;5.11;5.11;0.51;0.51;54092
26;24;5.32;4.91;0.53;0.49;54201
25;25;5.11;5.11;0.51;0.51;54312
26;25;5.32;5.11;0.53;0.51;54421
25;25;5.11;5.11;0.51;0.51;54532
27;25;5.52;5.11;0.55;0.51;54641
25;24;5.11;4.91;0.51;0.49;54750
26;24;5.32;4.91;0.53;0.49;54859
25;25;5.11;5.11;0.51;0.51;54968
25;24;5.11;4.91;0.51;0.49;55077
25;25;5.11;5.11;0.51;0.51;55186
26;26;5.32;5.32;0.53;0.53;55298
26;24;5.32;4.91;0.53;0.49;55407
25;25;5.11;5.11;0.51;0.51;55516
25;24;5.11;4.91;0.51;0.49;55625
26;25;5.32;5.11;0.53;0.51;55734
25;25;5.11;5.11;0.51;0.51;55843
26;26;5.32;5.32;0.53;0.53;55952
25;25;5.11;5.11;0.51;0.51;56061
18;35;3.68;7.16;0.37;0.72;56170
15;37;3.07;7.57;0.31;0.76;56281
15;39;3.07;7.98;0.31;0.8;56399
15;36;3.07;7.36;0.31;0.74;56508
15;36;3.07;7.36;0.31;0.74;56617
15;36;3.07;7.36;0.31;0.74;56726
15;35;3.07;7.16;0.31;0.72;56835
14;37;2.86;7.57;0.29;0.76;56944
18;33;3.68;6.75;0.37;0.68;57053
35;18;7.16;3.68;0.72;0.37;57162
31;20;6.34;4.09;0.63;0.41;57271
27;27;5.52;5.52;0.55;0.55;57389
31;19;6.34;3.89;0.63;0.39;57498
36;15;7.36;3.07;0.74;0.31;57607
33;17;6.75;3.48;0.68;0.35;57716
27;23;5.52;4.71;0.55;0.47;57825
34;16;6.96;3.27;0.7;0.33;57936
36;16;7.36;3.27;0.74;0.33;58045
21;34;4.3;6.96;0.43;0.7;58154
24;27;4.91;5.52;0.49;0.55;58263
40;17;8.18;3.48;0.82;0.35;58372
40;16;8.18;3.27;0.82;0.33;58493
33;17;6.75;3.48;0.68;0.35;58602
26;26;5.32;5.32;0.53;0.53;58711
23;26;4.71;5.32;0.47;0.53;58820
25;25;5.11;5.11;0.51;0.51;58929
25;25;5.11;5.11;0.51;0.51;59038
26;24;5.32;4.91;0.53;0.49;59147
26;25;5.32;5.11;0.53;0.51;59256
25;25;5.11;5.11;0.51;0.51;59365
28;25;5.73;5.11;0.57;0.51;59484
25;24;5.11;4.91;0.51;0.49;59593
26;26;5.32;5.32;0.53;0.53;59704
26;24;5.32;4.91;0.53;0.49;59813
27;26;5.52;5.32;0.55;0.53;59922
27;23;5.52;4.71;0.55;0.47;60031
