timestamp,anchor_id,range,sigma
3.9,2,13.2933,0.03
3.9,3,11.8746,0.03
3.92,0,4.68,0.03
3.92,1,7.5172,0.03
3.92,2,13.287,0.03
3.92,3,11.8867,0.03
3.94,0,4.6679,0.03
3.94,1,7.4932,0.03
3.94,2,13.2657,0.03
3.94,3,11.9495,0.03
3.96,0,4.6925,0.03
3.96,1,7.4464,0.03
3.96,2,13.2651,0.03
3.96,3,11.8851,0.03
3.98,0,4.6934,0.03
3.98,1,7.4299,0.03
3.98,2,13.2665,0.03
3.98,3,11.8933,0.03
4.0,0,4.7408,0.03
4.0,1,7.4431,0.03
4.0,2,13.2457,0.03
4.0,3,11.9428,0.03
4.02,0,4.7816,0.03
4.02,1,7.4093,0.03
4.02,2,13.2381,0.03
4.02,3,11.9364,0.03
4.04,0,4.7427,0.03
4.04,1,7.4115,0.03
4.04,2,13.2361,0.03
4.04,3,11.9666,0.03
4.06,0,4.8299,0.03
4.06,1,7.3795,0.03
4.06,2,13.1963,0.03
4.06,3,11.9051,0.03
4.08,0,4.8234,0.03
4.08,1,7.3655,0.03
4.08,2,13.21,0.03
4.08,3,11.9232,0.03
4.1,0,4.8568,0.03
4.1,1,7.3184,0.03
4.1,2,13.1835,0.03
4.1,3,11.9995,0.03
4.12,0,4.837,0.03
4.12,1,7.3519,0.03
4.12,2,13.16,0.03
4.12,3,11.9931,0.03
4.14,0,4.894,0.03
4.14,1,7.3211,0.03
4.14,2,13.1818,0.03
4.14,3,11.9525,0.03
4.16,0,4.8958,0.03
4.16,1,7.244,0.03
4.16,2,13.1349,0.03
4.16,3,11.9688,0.03
4.18,0,4.9056,0.03
4.18,1,7.2698,0.03
4.18,2,13.1301,0.03
4.18,3,12.009,0.03
4.2,0,4.9069,0.03
4.2,1,7.2498,0.03
4.2,2,13.1674,0.03
4.2,3,11.9967,0.03
4.22,0,4.9097,0.03
4.22,1,7.2394,0.03
4.22,2,13.1104,0.03
4.22,3,12.0496,0.03
4.24,0,4.9499,0.03
4.24,1,7.2046,0.03
4.24,2,13.1175,0.03
4.24,3,12.0142,0.03
4.26,0,4.9947,0.03
4.26,1,7.2038,0.03
4.26,2,13.0987,0.03
4.26,3,11.9901,0.03
4.28,0,4.9419,0.03
4.28,1,7.1772,0.03
4.28,2,13.1084,0.03
4.28,3,12.0387,0.03
4.3,0,5.0271,0.03
4.3,1,7.1619,0.03
4.3,2,13.0563,0.03
4.3,3,12.028,0.03
4.32,0,5.0175,0.03
4.32,1,7.1453,0.03
4.32,2,13.0947,0.03
4.32,3,12.0535,0.03
4.34,0,5.0505,0.03
4.34,1,7.1192,0.03
4.34,2,13.047,0.03
4.34,3,12.0622,0.03
4.36,0,5.0316,0.03
4.36,1,7.1062,0.03
4.36,2,13.0159,0.03
4.36,3,12.0925,0.03
4.38,0,5.1455,0.03
4.38,1,7.1037,0.03
4.38,2,13.0383,0.03
4.38,3,12.0948,0.03
4.4,0,5.0977,0.03
4.4,1,7.0892,0.03
4.4,2,13.0321,0.03
4.4,3,12.0705,0.03
4.42,0,5.1189,0.03
4.42,1,7.0548,0.03
4.42,2,12.9987,0.03
4.42,3,12.0678,0.03
4.44,0,5.1516,0.03
4.44,1,7.0512,0.03
4.44,2,13.0044,0.03
4.44,3,12.1387,0.03
4.46,0,5.1557,0.03
4.46,1,7.0262,0.03
4.46,2,12.9949,0.03
4.46,3,12.1314,0.03
4.48,0,5.1572,0.03
4.48,1,7.0008,0.03
4.48,2,13.013,0.03
4.48,3,12.0867,0.03
4.5,0,5.1778,0.03
4.5,1,6.9826,0.03
4.5,2,13.0043,0.03
