timestamp,anchor_id,range_front,sigma_front,range_rear,sigma_rear
5.8,2,7.72769,0.02,7.567337,0.02
5.8,3,1.205289,0.02,0.993372,0.02
5.8,4,6.881207,0.02,7.058807,0.02
5.8,5,2.750235,0.02,3.284836,0.02
5.8,6,3.820042,0.02,4.398695,0.02
5.8,7,7.369471,0.02,7.71124,0.02
5.9,0,3.652933,0.02,2.979423,0.02
5.9,1,4.490818,0.02,4.145971,0.02
5.9,2,7.729554,0.02,7.585474,0.02
5.9,3,1.193479,0.02,0.956882,0.02
5.9,4,6.89812,0.02,7.063352,0.02
5.9,5,2.762198,0.02,3.282747,0.02
5.9,6,3.847392,0.02,4.383143,0.02
5.9,7,7.375306,0.02,7.72037,0.02
6.0,0,3.663066,0.02,3.00634,0.02
6.0,1,4.503108,0.02,4.148923,0.02
6.0,2,7.710549,0.02,7.58677,0.02
6.0,3,1.189495,0.02,0.984446,0.02
6.0,4,6.89647,0.02,7.041783,0.02
6.0,5,2.784823,0.02,3.323562,0.02
6.0,6,3.846605,0.02,4.412458,0.02
6.0,7,7.348965,0.02,7.721055,0.02
6.1,0,3.655476,0.02,2.979559,0.02
6.1,1,4.545418,0.02,4.110571,0.02
6.1,2,7.700259,0.02,7.557321,0.02
6.1,3,1.179066,0.02,0.979237,0.02
6.1,4,6.906863,0.02,7.033198,0.02
6.1,5,2.751263,0.02,3.316007,0.02
6.1,6,3.834856,0.02,4.387571,0.02
6.1,7,7.347124,0.02,7.697435,0.02
6.2,0,3.640806,0.02,3.011977,0.02
6.2,1,4.516673,0.02,4.171679,0.02
6.2,2,7.697987,0.02,7.589311,0.02
6.2,3,1.195157,0.02,0.963484,0.02
6.2,4,6.881295,0.02,7.026378,0.02
6.2,5,2.809266,0.02,3.298226,0.02
6.2,6,3.856126,0.02,4.393691,0.02
6.2,7,7.361208,0.02,7.717767,0.02
6.3,0,3.63923,0.02,2.98509,0.02
6.3,1,4.512911,0.02,4.168863,0.02
6.3,2,7.725293,0.02,7.596219,0.02
